Year,OrgCode,OrgName,OrgType,VacCode,Value
2008-09,E12000001,North East,Region,Cohort_12m,29969.0000000000000
2008-09,E12000001,North East,Region,Cohort_24m,29319.0000000000000
2008-09,E12000001,North East,Region,Cohort_5y,26998.0000000000000
2008-09,E12000001,North East,Region,DTaP_IPV_5y,88.0509667382769
2008-09,E12000001,North East,Region,DTaP_IPV_Hib_12m,94.9280923621075
2008-09,E12000001,North East,Region,DTaP_IPV_Hib_24m,95.1362597632934
2008-09,E12000001,North East,Region,Hib_MenC_24m,90.6101845219823
2008-09,E12000001,North East,Region,MMR_24m,88.0759916777516
2008-09,E12000001,North East,Region,MMR1_5y,93.1217127194607
2008-09,E12000001,North East,Region,MMR2_5y,85.1470479294763
2008-09,E12000001,North East,Region,PCV_12m,94.1639694350829
2008-09,E12000001,North East,Region,PCV_24m,86.7389747262867
2008-09,E12000002,North West,Region,Cohort_12m,85672.0000000000000
2008-09,E12000002,North West,Region,Cohort_24m,83094.0000000000000
2008-09,E12000002,North West,Region,Cohort_5y,77537.0000000000000
2008-09,E12000002,North West,Region,DTaP_IPV_5y,84.8691592401047
2008-09,E12000002,North West,Region,DTaP_IPV_Hib_12m,93.7996078065179
2008-09,E12000002,North West,Region,DTaP_IPV_Hib_24m,95.1611904437536
2008-09,E12000002,North West,Region,Hib_MenC_24m,87.8779782867413
2008-09,E12000002,North West,Region,MMR_24m,87.1592583877240
2008-09,E12000002,North West,Region,MMR1_5y,92.5454944091208
2008-09,E12000002,North West,Region,MMR2_5y,82.6070134258483
2008-09,E12000002,North West,Region,PCV_12m,93.1284433653936
2008-09,E12000002,North West,Region,PCV_24m,83.8073494765987
2008-09,E12000003,Yorkshire & the Humber,Region,Cohort_12m,64945.0000000000000
2008-09,E12000003,Yorkshire & the Humber,Region,Cohort_24m,63098.0000000000000
2008-09,E12000003,Yorkshire & the Humber,Region,Cohort_5y,59454.0000000000000
2008-09,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_5y,83.4140680189727
2008-09,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_Hib_12m,93.9379474940334
2008-09,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_Hib_24m,95.3849567339694
2008-09,E12000003,Yorkshire & the Humber,Region,Hib_MenC_24m,88.5606516846810
2008-09,E12000003,Yorkshire & the Humber,Region,MMR_24m,86.5843608355257
2008-09,E12000003,Yorkshire & the Humber,Region,MMR1_5y,91.5346318161940
2008-09,E12000003,Yorkshire & the Humber,Region,MMR2_5y,81.9776634036398
2008-09,E12000003,Yorkshire & the Humber,Region,PCV_12m,92.9124643929479
2008-09,E12000003,Yorkshire & the Humber,Region,PCV_24m,84.7316872167105
2008-09,E12000004,East Midlands,Region,Cohort_12m,50331.0000000000000
2008-09,E12000004,East Midlands,Region,Cohort_24m,48330.0000000000000
2008-09,E12000004,East Midlands,Region,Cohort_5y,46165.0000000000000
2008-09,E12000004,East Midlands,Region,DTaP_IPV_5y,86.6045705621141
2008-09,E12000004,East Midlands,Region,DTaP_IPV_Hib_12m,94.4586835151298
2008-09,E12000004,East Midlands,Region,DTaP_IPV_Hib_24m,96.2424994827229
2008-09,E12000004,East Midlands,Region,Hib_MenC_24m,88.2743637492241
2008-09,E12000004,East Midlands,Region,MMR_24m,87.6763914752741
2008-09,E12000004,East Midlands,Region,MMR1_5y,91.6928408967833
2008-09,E12000004,East Midlands,Region,MMR2_5y,84.0051987436370
2008-09,E12000004,East Midlands,Region,PCV_12m,93.8606425463432
2008-09,E12000004,East Midlands,Region,PCV_24m,85.5100351748396
2008-09,E12000005,West Midlands,Region,Cohort_12m,69775.0000000000000
2008-09,E12000005,West Midlands,Region,Cohort_24m,67613.0000000000000
2008-09,E12000005,West Midlands,Region,Cohort_5y,63726.0000000000000
2008-09,E12000005,West Midlands,Region,DTaP_IPV_5y,86.9127200828547
2008-09,E12000005,West Midlands,Region,DTaP_IPV_Hib_12m,94.1898960945897
2008-09,E12000005,West Midlands,Region,DTaP_IPV_Hib_24m,96.1309215683375
2008-09,E12000005,West Midlands,Region,Hib_MenC_24m,89.9264934258205
2008-09,E12000005,West Midlands,Region,MMR_24m,88.4297398429296
2008-09,E12000005,West Midlands,Region,MMR1_5y,91.3237924865832
2008-09,E12000005,West Midlands,Region,MMR2_5y,82.4498634780153
2008-09,E12000005,West Midlands,Region,PCV_12m,94.0007165890362
2008-09,E12000005,West Midlands,Region,PCV_24m,86.1343232810258
2008-09,E12000006,East of England,Region,Cohort_12m,70661.0000000000000
2008-09,E12000006,East of England,Region,Cohort_24m,69097.0000000000000
2008-09,E12000006,East of England,Region,Cohort_5y,67460.0000000000000
2008-09,E12000006,East of England,Region,DTaP_IPV_5y,82.2072339163949
2008-09,E12000006,East of England,Region,DTaP_IPV_Hib_12m,94.1438700273135
2008-09,E12000006,East of England,Region,DTaP_IPV_Hib_24m,95.1343763115620
2008-09,E12000006,East of England,Region,Hib_MenC_24m,89.1601661432479
2008-09,E12000006,East of England,Region,MMR_24m,83.9385212093144
2008-09,E12000006,East of England,Region,MMR1_5y,87.1420100800474
2008-09,E12000006,East of England,Region,MMR2_5y,78.0996145864216
2008-09,E12000006,East of England,Region,PCV_12m,93.2791780472963
2008-09,E12000006,East of England,Region,PCV_24m,82.4579938347540
2008-09,E12000007,London,Region,Cohort_12m,124542.0000000000000
2008-09,E12000007,London,Region,Cohort_24m,116828.0000000000000
2008-09,E12000007,London,Region,Cohort_5y,105552.0000000000000
2008-09,E12000007,London,Region,DTaP_IPV_5y,58.1504850689707
2008-09,E12000007,London,Region,DTaP_IPV_Hib_12m,83.3951598657481
2008-09,E12000007,London,Region,DTaP_IPV_Hib_24m,86.5160749135481
2008-09,E12000007,London,Region,Hib_MenC_24m,70.2674016502893
2008-09,E12000007,London,Region,MMR_24m,76.2693874756052
2008-09,E12000007,London,Region,MMR1_5y,80.9108306806124
2008-09,E12000007,London,Region,MMR2_5y,63.0030695770805
2008-09,E12000007,London,Region,PCV_12m,82.0365820365820
2008-09,E12000007,London,Region,PCV_24m,67.4641353100284
2008-09,E12000008,South East,Region,Cohort_12m,101101.0000000000000
2008-09,E12000008,South East,Region,Cohort_24m,98604.0000000000000
2008-09,E12000008,South East,Region,Cohort_5y,98552.0000000000000
2008-09,E12000008,South East,Region,DTaP_IPV_5y,82.8466190437535
2008-09,E12000008,South East,Region,DTaP_IPV_Hib_12m,93.4065934065934
2008-09,E12000008,South East,Region,DTaP_IPV_Hib_24m,95.3906535231836
2008-09,E12000008,South East,Region,Hib_MenC_24m,87.9619488053223
2008-09,E12000008,South East,Region,MMR_24m,86.4701229159060
2008-09,E12000008,South East,Region,MMR1_5y,88.4375761019563
2008-09,E12000008,South East,Region,MMR2_5y,77.7985226073545
2008-09,E12000008,South East,Region,PCV_12m,92.7429006636927
2008-09,E12000008,South East,Region,PCV_24m,84.3586467080443
2008-09,E12000009,South West,Region,Cohort_12m,57180.0000000000000
2008-09,E12000009,South West,Region,Cohort_24m,55338.0000000000000
2008-09,E12000009,South West,Region,Cohort_5y,53394.0000000000000
2008-09,E12000009,South West,Region,DTaP_IPV_5y,87.4012061280294
2008-09,E12000009,South West,Region,DTaP_IPV_Hib_12m,94.6817068905212
2008-09,E12000009,South West,Region,DTaP_IPV_Hib_24m,95.6847012902526
2008-09,E12000009,South West,Region,Hib_MenC_24m,89.4466731721421
2008-09,E12000009,South West,Region,MMR_24m,87.3685351837797
2008-09,E12000009,South West,Region,MMR1_5y,91.6076712739259
2008-09,E12000009,South West,Region,MMR2_5y,82.7770910589205
2008-09,E12000009,South West,Region,PCV_12m,94.4578523959426
2008-09,E12000009,South West,Region,PCV_24m,85.3301528786729
2008-09,E92000001,England,Country,Cohort_12m,654176.0000000000000
2008-09,E92000001,England,Country,Cohort_24m,631321.0000000000000
2008-09,E92000001,England,Country,Cohort_5y,598838.0000000000000
2008-09,E92000001,England,Country,DTaP_IPV_5y,80.1029660776370
2008-09,E92000001,England,Country,DTaP_IPV_Hib_12m,92.0301264491513
2008-09,E92000001,England,Country,DTaP_IPV_Hib_24m,93.8541566017921
2008-09,E92000001,England,Country,Hib_MenC_24m,85.3586368899498
2008-09,E92000001,England,Country,MMR_24m,84.8685533983504
2008-09,E92000001,England,Country,MMR1_5y,88.8562516072794
2008-09,E92000001,England,Country,MMR2_5y,78.0107474809548
2008-09,E92000001,England,Country,PCV_12m,91.2650418236071
2008-09,E92000001,England,Country,PCV_24m,81.4677477859916
2009-10,E12000001,North East,Region,Cohort_12m,29776.0000000000000
2009-10,E12000001,North East,Region,Cohort_24m,30082.0000000000000
2009-10,E12000001,North East,Region,Cohort_5y,28006.0000000000000
2009-10,E12000001,North East,Region,DTaP_IPV_5y,91.2054559737199
2009-10,E12000001,North East,Region,DTaP_IPV_Hib_12m,95.6810854379366
2009-10,E12000001,North East,Region,DTaP_IPV_Hib_24m,96.9018017419055
2009-10,E12000001,North East,Region,Hib_MenC_24m,94.0795159896283
2009-10,E12000001,North East,Region,MMR_24m,91.1342330962037
2009-10,E12000001,North East,Region,MMR1_5y,94.1084053417125
2009-10,E12000001,North East,Region,MMR2_5y,89.0059273012926
2009-10,E12000001,North East,Region,PCV_12m,95.2176249328318
2009-10,E12000001,North East,Region,PCV_24m,91.4334153314274
2009-10,E12000002,North West,Region,Cohort_12m,86196.0000000000000
2009-10,E12000002,North West,Region,Cohort_24m,86666.0000000000000
2009-10,E12000002,North West,Region,Cohort_5y,80671.0000000000000
2009-10,E12000002,North West,Region,DTaP_IPV_5y,87.8890803386595
2009-10,E12000002,North West,Region,DTaP_IPV_Hib_12m,94.6992899902548
2009-10,E12000002,North West,Region,DTaP_IPV_Hib_24m,96.5834896365061
2009-10,E12000002,North West,Region,Hib_MenC_24m,92.1664782036785
2009-10,E12000002,North West,Region,MMR_24m,91.1370165483511
2009-10,E12000002,North West,Region,MMR1_5y,93.6767859577791
2009-10,E12000002,North West,Region,MMR2_5y,85.8015891708297
2009-10,E12000002,North West,Region,PCV_12m,94.2015870806070
